date,time,comp_level_ft,temperature,year,month,wy
2024-11-14,06:15:49,1.194225721784777,16.5,2024,11,2025
2024-11-14,06:30:49,1.194225721784777,16.2,2024,11,2025
2024-11-14,06:45:49,1.2007874015748032,16.3,2024,11,2025
2024-11-14,07:00:49,1.19750656167979,16.2,2024,11,2025
2024-11-14,07:15:49,1.19750656167979,16.3,2024,11,2025
2024-11-14,07:30:49,1.2040682414698163,16.1,2024,11,2025
2024-11-14,07:45:49,1.2007874015748032,16,2024,11,2025
2024-11-14,08:00:49,1.194225721784777,16.1,2024,11,2025
2024-11-14,08:15:49,1.19750656167979,16,2024,11,2025
2024-11-14,08:30:49,1.1811023622047243,15.8,2024,11,2025
2024-11-14,08:45:49,1.1811023622047243,15.6,2024,11,2025
2024-11-14,09:00:49,1.1778215223097113,15.6,2024,11,2025
2024-11-14,09:15:49,1.1778215223097113,15.6,2024,11,2025
2024-11-14,09:30:49,1.1843832020997376,15.6,2024,11,2025
2024-11-14,09:45:49,1.1778215223097113,15.7,2024,11,2025
2024-11-14,10:00:49,1.1745406824146982,15.7,2024,11,2025
2024-11-14,10:15:49,1.167979002624672,15.7,2024,11,2025
2024-11-14,10:30:49,1.1548556430446193,15.7,2024,11,2025
2024-11-14,10:45:49,1.1614173228346456,15.7,2024,11,2025
2024-11-14,11:00:49,1.1581364829396326,15.5,2024,11,2025
2024-11-14,11:15:49,1.167979002624672,15.8,2024,11,2025
2024-11-14,11:30:49,1.1646981627296589,15.7,2024,11,2025
2024-11-14,11:45:49,1.1614173228346456,15.9,2024,11,2025
2024-11-14,12:00:49,1.1581364829396326,15.9,2024,11,2025
2024-11-14,12:15:49,1.1646981627296589,15.9,2024,11,2025
2024-11-14,12:30:49,1.1548556430446193,16.1,2024,11,2025
2024-11-14,12:45:49,1.1515748031496063,16.1,2024,11,2025
2024-11-14,13:00:49,1.1515748031496063,16.1,2024,11,2025
2024-11-14,13:15:49,1.1515748031496063,16.2,2024,11,2025
2024-11-14,13:30:49,1.1614173228346456,16.3,2024,11,2025
2024-11-14,13:45:49,1.1614173228346456,16.3,2024,11,2025
2024-11-14,14:00:49,1.1548556430446193,16.4,2024,11,2025
2024-11-14,14:15:49,1.1646981627296589,16.8,2024,11,2025
2024-11-14,14:30:49,1.1581364829396326,16.9,2024,11,2025
2024-11-14,14:45:49,1.1646981627296589,17,2024,11,2025
2024-11-14,15:00:49,1.1646981627296589,17,2024,11,2025
2024-11-14,15:15:49,1.171259842519685,17,2024,11,2025
2024-11-14,15:30:49,1.1811023622047243,17.4,2024,11,2025
2024-11-14,15:45:49,1.1876640419947506,17.4,2024,11,2025
2024-11-14,16:00:49,1.1843832020997376,17.4,2024,11,2025
2024-11-14,16:15:49,1.167979002624672,17.2,2024,11,2025
2024-11-14,16:30:49,1.1843832020997376,17.3,2024,11,2025
2024-11-14,16:45:49,1.1811023622047243,17.4,2024,11,2025
2024-11-14,17:00:49,1.1778215223097113,17.4,2024,11,2025
